Frequency (GHz)	DB(|S(1,1)|) : 6PORT ORIGINAL CRLH N8	DB(|S(2,1)|) : 6PORT ORIGINAL CRLH N8	DB(|S(3,1)|) : 6PORT ORIGINAL CRLH N8	DB(|S(4,1)|) : 6PORT ORIGINAL CRLH N8	DB(|S(5,1)|) : 6PORT ORIGINAL CRLH N8	DB(|S(6,1)|) : 6PORT ORIGINAL CRLH N8
0.5	-3.63372	-9.32721	-9.49746	-9.54117	-9.50267	-9.40964
0.51	-4.52876	-8.35646	-9.31359	-9.24769	-8.93963	-8.60633
0.52	-5.91689	-7.81861	-9.2998	-8.63872	-8.09726	-7.71032
0.53	-8.43865	-7.54855	-9.66929	-7.90505	-7.14688	-6.61364
0.54	-12.571	-7.69972	-11.2624	-7.50572	-6.36725	-5.35135
0.55	-12.1027	-7.90553	-15.5624	-8.03809	-6.17006	-4.55964
0.56	-8.88005	-7.52435	-21.9972	-9.29867	-6.50129	-4.60795
0.57	-7.15465	-7.12953	-19.1903	-10.5896	-6.95854	-5.04462
0.58	-6.37619	-7.0884	-15.2755	-11.5972	-7.29876	-5.39133
0.59	-6.24143	-7.36457	-12.7347	-12.3117	-7.43083	-5.43257
0.6	-6.70018	-7.87756	-10.8129	-12.8387	-7.35469	-5.16603
0.61	-7.85388	-8.49191	-9.23032	-13.3456	-7.15563	-4.73154
0.62	-9.90872	-8.83527	-7.97192	-14.0029	-7.01035	-4.33251
0.63	-12.7843	-8.5061	-7.13815	-14.8391	-7.13486	-4.12566
0.64	-14.3893	-7.75887	-6.77685	-15.6849	-7.62633	-4.13099
0.65	-12.9254	-7.04988	-6.78169	-16.4143	-8.37847	-4.27295
0.66	-11.1608	-6.46581	-6.97347	-17.0529	-9.20537	-4.46998
0.67	-10.2182	-5.9341	-7.20811	-17.6433	-9.96992	-4.66253
0.68	-10.0942	-5.40063	-7.40353	-18.2	-10.6092	-4.81598
0.69	-10.7819	-4.85038	-7.52615	-18.7351	-11.1207	-4.92456
0.7	-12.4192	-4.29892	-7.57767	-19.2598	-11.56	-5.02069
0.71	-14.5919	-3.80142	-7.59564	-19.719	-12.0688	-5.2028
0.72	-12.8129	-3.49506	-7.67707	-19.7682	-12.9598	-5.70851
0.73	-7.65495	-3.6804	-8.02388	-18.6733	-14.8807	-7.07305
0.74	-3.80241	-4.84443	-8.91956	-16.5512	-18.6033	-10.3888
0.75	-1.77898	-7.37203	-10.4592	-14.7043	-19.4694	-17.4865
0.76	-1.11297	-11.2189	-12.4264	-13.7323	-15.1833	-16.843
0.77	-1.18449	-16.0719	-14.8203	-13.4887	-12.2546	-11.1488
0.78	-1.59626	-19.1184	-18.2276	-13.7822	-10.5621	-8.22279
0.79	-2.18629	-15.9743	-23.9014	-14.5338	-9.60167	-6.54857
0.8	-2.92481	-12.3363	-26.6492	-15.691	-9.09387	-5.5388
0.81	-3.82056	-9.78716	-20.3736	-17.1525	-8.84658	-4.93201
0.82	-4.85568	-8.08291	-16.5564	-18.7637	-8.72039	-4.58497
0.83	-5.95918	-6.96635	-14.2868	-20.3663	-8.63513	-4.41319
0.84	-7.01091	-6.25425	-12.8246	-21.8479	-8.55894	-4.36518
0.85	-7.87228	-5.82026	-11.8192	-23.1598	-8.48304	-4.40616
0.86	-8.44561	-5.57747	-11.0838	-24.3039	-8.40368	-4.5092
0.87	-8.72706	-5.46552	-10.5103	-25.3065	-8.31573	-4.65187
0.88	-8.79883	-5.44203	-10.0328	-26.1988	-8.21274	-4.81547
0.89	-8.77263	-5.47701	-9.6101	-27.0076	-8.08858	-4.98486
0.9	-8.74411	-5.54917	-9.21641	-27.7539	-7.93881	-5.14829
0.91	-8.78112	-5.64336	-8.83637	-28.4547	-7.76149	-5.29702
0.92	-8.9312	-5.74875	-8.46211	-29.1247	-7.55754	-5.42503
0.93	-9.23311	-5.85743	-8.0915	-29.7785	-7.33085	-5.52862
0.94	-9.72711	-5.96341	-7.72719	-30.4316	-7.08836	-5.6063
0.95	-10.4644	-6.06187	-7.37584	-31.1005	-6.83994	-5.65866
0.96	-11.5187	-6.14866	-7.04744	-31.8026	-6.59804	-5.68828
0.97	-13.0066	-6.2201	-6.75437	-32.5549	-6.37701	-5.69944
0.98	-15.1336	-6.27312	-6.50997	-33.3712	-6.1918	-5.69761
0.99	-18.3292	-6.30564	-6.3267	-34.2592	-6.05617	-5.68849
1	-23.7805	-6.31707	-6.21399	-35.2158	-5.98066	-5.67694
1.01	-33.4648	-6.30838	-6.17644	-36.2236	-5.9708	-5.666
1.02	-24.3245	-6.28182	-6.21289	-37.2474	-6.02623	-5.65651
1.03	-18.8444	-6.24024	-6.3167	-38.2326	-6.14098	-5.64727
1.04	-15.7084	-6.18635	-6.47712	-39.1085	-6.30488	-5.63581
1.05	-13.6483	-6.12241	-6.68123	-39.7988	-6.50551	-5.61919
1.06	-12.2124	-6.05008	-6.9158	-40.2425	-6.73006	-5.59471
1.07	-11.1871	-5.97064	-7.16871	-40.4156	-6.96677	-5.56032
1.08	-10.4536	-5.88515	-7.42974	-40.3376	-7.20571	-5.51479
1.09	-9.938	-5.79466	-7.69094	-40.0588	-7.43913	-5.45771
1.1	-9.59155	-5.70033	-7.94658	-39.6373	-7.66145	-5.38941
1.11	-9.37985	-5.60353	-8.19294	-39.1229	-7.86898	-5.31087
1.12	-9.27707	-5.50593	-8.42808	-38.5516	-8.05974	-5.2236
