Frequency (GHz)	SDeltaP(6PORT ORIGINAL CRLH N8,2,1,5,1) (Deg) : 6PORT ORIGINAL CRLH N8	SDeltaP(6PORT ORIGINAL CRLH N8,3,1,5,1) (Deg) : 6PORT ORIGINAL CRLH N8	SDeltaP(6PORT ORIGINAL CRLH N8,5,1,5,1) (Deg) : 6PORT ORIGINAL CRLH N8	SDeltaP(6PORT ORIGINAL CRLH N8,6,1,5,1) (Deg) : 6PORT ORIGINAL CRLH N8
0.5	13.5691	7.1698	0	-0.610721
0.51	42.304	18.2676	0	7.68605
0.52	60.4567	21.5424	0	19.4726
0.53	77.5985	22.1414	0	32.4743
0.54	97.0638	21.3308	0	44.8836
0.55	120.991	26.1996	0	54.2188
0.56	142.388	67.4773	0	61.6239
0.57	157.014	125.235	0	69.5307
0.58	168.009	140.97	0	78.4492
0.59	178.305	146.711	0	87.7769
0.6	190.041	149.834	0	96.8719
0.61	205.386	152.023	0	105.532
0.62	225.539	153.824	0	114.035
0.63	247.433	155.32	0	122.625
0.64	265.966	156.378	0	130.859
0.65	280.095	156.968	0	137.98
0.66	291.102	157.261	0	143.756
0.67	300.069	157.524	0	148.465
0.68	307.727	158.058	0	152.518
0.69	314.717	159.244	0	156.304
0.7	321.748	161.644	0	160.203
0.71	329.775	166.177	0	164.692
0.72	340.398	174.537	0	170.621
0.73	357.31	190.536	0	180.267
0.74	392.977	226.35	0	202.365
0.75	466.374	299.18	0	236.319
0.76	519.601	346.69	0	186.551
0.77	562.996	370.518	0	179.534
0.78	626.94	387.676	0	182.88
0.79	680.281	413.313	0	187.131
0.8	704.307	490.558	0	190.97
0.81	716.049	527.091	0	194.117
0.82	722.508	534.559	0	196.68
0.83	726.592	536.245	0	198.941
0.84	729.714	536.418	0	201.159
0.85	732.549	536.265	0	203.496
0.86	735.396	536.146	0	206.026
0.87	738.378	536.141	0	208.777
0.88	741.549	536.24	0	211.761
0.89	744.942	536.412	0	214.987
0.9	748.582	536.629	0	218.464
0.91	752.501	536.867	0	222.206
0.92	756.732	537.11	0	226.227
0.93	761.312	537.35	0	230.539
0.94	766.273	537.58	0	235.149
0.95	771.642	537.797	0	240.056
0.96	777.425	538	0	245.248
0.97	783.604	538.19	0	250.695
0.98	790.126	538.365	0	256.355
0.99	796.901	538.528	0	262.164
1	803.806	538.679	0	268.046
1.01	810.7	538.818	0	273.915
1.02	817.445	538.948	0	279.684
1.03	823.921	539.068	0	285.272
1.04	830.039	539.18	0	290.611
1.05	835.747	539.285	0	295.656
1.06	841.021	539.383	0	300.38
1.07	845.864	539.475	0	304.773
1.08	850.294	539.56	0	308.841
1.09	854.34	539.64	0	312.598
1.1	858.036	539.713	0	316.066
1.11	861.415	539.779	0	319.268
1.12	864.512	539.837	0	322.228
1.13	867.358	539.887	0	324.97
1.14	869.981	539.925	0	327.514
1.15	872.404	539.949	0	329.882
1.16	874.65	539.957	0	332.091
1.17	876.736	539.945	0	334.157
1.18	878.679	539.909	0	336.094
1.19	880.49	539.843	0	337.913
1.2	882.181	539.743	0	339.625
1.21	883.763	539.604	0	341.24
1.22	885.245	539.424	0	342.767
1.23	886.639	539.202	0	344.215
1.24	887.961	538.946	0	345.593
1.25	889.231	538.672	0	346.916
1.26	890.483	538.412	0	348.199
1.27	891.76	538.219	0	349.463
1.28	893.126	538.176	0	350.733
1.29	894.668	538.415	0	352.04
1.3	896.522	539.176	0	353.415
1.31	898.946	541.06	0	354.897
1.32	902.669	547.128	0	356.532
1.33	912.622	685.377	0	358.365
1.34	1071.93	716.711	0	360.102
1.35	1095.21	731.988	0	301.867
1.36	1217.52	852.619	0	325.261
1.37	1249.15	883.166	0	352.845
1.38	1256.06	889.134	0	358.066
1.39	1259.89	892.071	0	360.87
1.4	1262.7	894.004	0	362.958
1.41	1265.03	895.442	0	364.735
1.42	1267.08	896.575	0	366.346
1.43	1268.94	897.491	0	367.856
1.44	1270.68	898.239	0	369.301
1.45	1272.31	898.85	0	370.703
1.46	1273.88	899.348	0	372.077
1.47	1275.4	899.752	0	373.437
1.48	1276.88	900.076	0	374.792
1.49	1278.33	900.333	0	376.15
1.5	1279.78	900.534	0	377.519
1.51	1281.22	900.689	0	378.905
1.52	1282.68	900.804	0	380.317
1.53	1284.14	900.888	0	381.758
1.54	1285.64	900.945	0	383.237
1.55	1287.16	900.98	0	384.758
1.56	1288.72	900.997	0	386.327
1.57	1290.32	900.999	0	387.951
1.58	1291.97	900.99	0	389.634
1.59	1293.68	900.97	0	391.383
1.6	1295.45	900.943	0	393.204
1.61	1297.28	900.909	0	395.102
1.62	1299.19	900.869	0	397.084
1.63	1301.17	900.826	0	399.155
1.64	1303.24	900.779	0	401.321
1.65	1305.4	900.729	0	403.586
1.66	1307.65	900.676	0	405.957
1.67	1309.99	900.621	0	408.436
1.68	1312.44	900.565	0	411.027
1.69	1314.98	900.507	0	413.732
1.7	1317.64	900.448	0	416.552
1.71	1320.4	900.388	0	419.483
1.72	1323.26	900.326	0	422.525
1.73	1326.23	900.263	0	425.669
1.74	1329.29	900.199	0	428.91
1.75	1332.44	900.134	0	432.235
1.76	1335.66	900.068	0	435.634
1.77	1338.95	900	0	439.091
1.78	1342.28	899.932	0	442.59
1.79	1345.64	899.862	0	446.115
1.8	1349.01	899.79	0	449.646
1.81	1352.37	899.717	0	453.167
1.82	1355.7	899.643	0	456.658
1.83	1358.98	899.567	0	460.104
1.84	1362.19	899.489	0	463.489
1.85	1365.31	899.41	0	466.799
1.86	1368.35	899.328	0	470.021
1.87	1371.28	899.245	0	473.146
1.88	1374.11	899.16	0	476.166
1.89	1376.82	899.072	0	479.076
1.9	1379.41	898.983	0	481.872
1.91	1381.9	898.891	0	484.552
1.92	1384.27	898.798	0	487.116
1.93	1386.53	898.702	0	489.565
1.94	1388.69	898.603	0	491.903
1.95	1390.75	898.503	0	494.132
1.96	1392.7	898.401	0	496.257
1.97	1394.57	898.298	0	498.283
